Periode;Production.Totale.Brute;Production.Totale.Nette;Production brute d'électricité primaire (en GWh);Production nette d'électricité primaire (en GWh);Production.Brute.Nucléaire;Production nette d'électricité nucléaire (en GWh);Production brute d'électricité hydraulique (en GWh);Production nette d'électricité hydraulique (en GWh);Production brute d'électricité éolienne (en GWh);Production nette d'électricité éolienne (en GWh);Production brute d'électricité photovoltaïque (en GWh);Production nette d'électricité photovoltaïque (en GWh);Production brute d'électricité thermique (en GWh);Production nette d'électricité thermique (en GWh);Électricité absorbée pour les pompages (en GWh);Total des importations physiques d'électricité (en GWh);Total des exportations physiques d'électricité (en GWh);Energie appelée réelle yc pertes (consommation calculée yc pertes) (en GWh);Livraisons en basse tension (BT : FC + Corse) (en GWh);Livraisons en moyenne tension (MT : FC + Corse) (en GWh);Livraisons en haute tension (en GWh);Energie appelée réelle yc pertes corrigée du climat (en GWh);Livraisons en basse tension corrigées du climat (en GWh);Livraisons en moyenne tension corrigées du climat (en GWh);Consommation d'électricité primaire (en GWh);Consommation d'électricité primaire corrigée du climat (en GWh);Puissance maximale appelée (en GW);Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période 1986-2015) (sans unité)
oct-14;42871.93128;40992.95231;39888.0758;38177.99431;34467;32803.25;3782.742196;3736.410703;1209.626958;1209.626958;428.706647;428.706647;2983.85548;2814.958;738.89;664.45;4971.4;35947.11231;12906.89;13112.90514;7013.253;39236.3823;15636.95575;13405.46366;33132.15431;37009.00982;62.64;0.563523458
nov-14;49204.1227;47102.51475;44607.32034;42765.90875;38072;36290.56;4896.389941;4836.418353;1411.536399;1411.536399;227.394001;227.394001;4596.80236;4336.606;639.05;539.57;6350.04;40652.99475;16866.25;13063.24042;6804.338;43180.56518;18966.77053;13246.61899;36316.38875;38901.32085;72.43;0.723131499
déc-14;56950.64827;54659.31114;51426.09257;49447.46614;43541.8;41633.53;5744.262691;5673.906253;1958.53;1958.53;181.499883;181.499883;5524.5557;5211.845;664.74;848.4;5619.97;49223.00114;23201.63;14425.56072;6953.985;49588.26709;23508.84764;14449.16373;44011.15614;44358.97051;82.54;0.967329572
janv-15;60609.36776;58238.44874;54374.21562;52356.22974;45734.48;43792.87;6235.721363;6159.345479;2176.051794;2176.051794;227.962468;227.962468;6235.15214;5882.219;658.47;720.35;5903.32;52397.00874;24871.01;15254.53941;7150.292;52676.82414;25105.63577;15272.3805;46514.78974;46777.08406;86.35;0.976636145
févr-15;54152.31048;52046.07074;47708.88742;45967.36974;39146.02;37483.16;6422.019345;6343.36166;1808.205413;1808.205413;332.642666;332.642666;6443.42306;6078.701;454.73;1446.61;4507.52;48530.43074;23155.02;14043.45037;6631.888;47774.87551;22521.81979;13994.26932;42451.72974;41747.49213;91.61;1.070287416
mars-15;52763.11419;50666.77614;47587.62709;45784.24114;38638.84;36915.36;6523.934026;6444.028078;1908.635208;1908.635208;516.217851;516.217851;5175.4871;4882.535;606.23;803.23;5154.42;45709.35614;20065.88;14313.07088;7117.121;45867.06936;20197.3964;14324.73041;40826.82114;40986.95435;75.71;0.98372112
avr-15;42993.73165;41184.72374;40678.09593;39000.16174;32794.12;31187.33;5808.578733;5737.434545;1377.802326;1377.802326;697.594872;697.594872;2315.63572;2184.562;544.99;1018.79;5138.01;36520.51374;14186.94;12683.80679;6739.582;37962.6235;15389.0621;12808.87805;34335.95174;36024.38645;68.75;0.804711605
mai-15;42126.25588;40319.27411;40802.4929;39070.44111;31981.92;30329.66;6514.613864;6434.82207;1518.775233;1518.775233;787.183804;787.183804;1323.76298;1248.833;733.33;572.36;6547.53;33610.77411;12338.67;11952.39043;6676.935;33974.75177;12638.48113;11987.93779;32361.94111;32829.20747;57.06;0.940694786
juin-15;41361.3227;39622.91549;40056.81144;38392.24449;32313.86;30719.02;5692.867793;5623.140846;1199.554512;1199.554512;850.529136;850.529136;1304.51126;1230.671;636.77;485.36;6546.37;32925.13549;10771.47;12985.25426;6642.085;32925.13549;10771.47;12985.25426;31694.46449;31694.46449;57.58;1
juil-15;43298.68805;41408.95028;41301.49965;39524.81028;34998.82;33272.25;4092.00406;4041.88469;1338.44135;1338.44135;872.234237;872.234237;1997.1884;1884.14;517.76;710.2;7020.04;34581.35028;11172.31;13838.98935;6799.271;34581.35028;11172.31;13838.98935;32697.21028;32697.21028;58.54;1
